address,location,type,price,listing_image,beds,baths,half_baths,square_feet,brokerage,attribution
"61 West 62nd Street, 23C, Manhattan, NY 10023",LINCOLN SQ,CO-OP,4500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"101 West 79th Street, 3H, Manhattan, NY 10024",UPPER WEST SIDE,CONDO,4750,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Casa Blanca Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 34th Street, Manhattan, NY 10016",KIPS,CONDO,5440,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145103/53026815?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"189 Schermerhorn Street, 9F, Brooklyn, NY 11201",DOWNTOWN BROOKLYN,CONDO,4100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"333 East 30th Street, 19G, Manhattan, NY 10016",KIPS BAY,CONDO,3000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137386/48160876?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 23rd Street, Manhattan, NY 10011",CHELSEA,CONDO,4690,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145098/53025289?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"220 Riverside Boulevard, 5W, Manhattan, NY 10069",LINCOLN SQUARE,CONDO,4000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of R New York,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"20 Prospect Park South, HOUSE, Brooklyn, NY 11215",WINDSOR TERRACE,TOWNHOUSE,15995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137380/48158371?w=3840&q=75,5,4,1,Not listed,Courtesy of Olshan Realty Inc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"321 East 48th Street, 8K, Manhattan, NY 10017",MIDTOWN EAST,CONDO,3000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137377/48157324?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Park Avenue, Manhattan, NY 10016",MURRAY HILL,CONDO,4530,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145088/53025644?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"43 West 16th Street, 11A, Manhattan, NY 10011",FLATIRON,CONDO,4150,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137374/48156995?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"1435 York Avenue, 7C, Manhattan, NY 10021",UPPER EAST SIDE,CONDO,3250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137371/48156008?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"1556 York Avenue, 2B, Manhattan, NY 10028",YORKVILLE,CONDO,2650,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137369/48155977?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"104 West 70th Street, 11B, Manhattan, NY 10023",LINCOLN SQ,CONDO,8400,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137367/48155478?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"31 East 12th Street, 3A, Manhattan, NY 10003",GREENWICH VILLAGE,CO-OP,6000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137366/48156024?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Buchbinder Warren Realty Group Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"2 Water Street, PHA, Manhattan, NY 10004",FINANCIAL DISTRICT,CONDO,5000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137365/48155500?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
